OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100 80GB PCIe
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:E3:00.0
None
Sizes of ptrain and pdot:
[(40000, 46, 46), (40000, 46, 46)]
len(theta) = 4477456
len(jac) = 84640000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 169280000 rows and 4477456 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1020  1.60167e-01  9.531e-01  5.778e-01   4.6e-04  7.5e-05  8.1e+03  2.1e+01
  1030  1.60010e-01  9.349e-01  5.626e-01   4.5e-04  7.4e-05  8.2e+03  1.9e+01
  1040  1.59859e-01  9.175e-01  5.482e-01   4.4e-04  7.3e-05  8.2e+03  3.1e+01
  1050  1.59703e-01  8.999e-01  5.337e-01   4.3e-04  7.2e-05  8.3e+03  2.3e+01
  1060  1.59548e-01  8.828e-01  5.196e-01   4.2e-04  7.1e-05  8.3e+03  2.0e+01
  1070  1.59402e-01  8.670e-01  5.067e-01   4.1e-04  7.0e-05  8.3e+03  2.1e+01
  1080  1.59249e-01  8.510e-01  4.937e-01   4.1e-04  6.9e-05  8.4e+03  2.4e+01
  1090  1.59099e-01  8.355e-01  4.812e-01   4.0e-04  6.8e-05  8.4e+03  2.0e+01
  1100  1.58951e-01  8.207e-01  4.692e-01   3.9e-04  6.8e-05  8.4e+03  2.1e+01
  1110  1.58803e-01  8.062e-01  4.576e-01   3.8e-04  6.7e-05  8.5e+03  2.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120  1.58657e-01  7.923e-01  4.464e-01   3.8e-04  6.6e-05  8.5e+03  2.6e+01
  1130  1.58502e-01  7.780e-01  4.349e-01   3.7e-04  6.5e-05  8.6e+03  2.3e+01
  1140  1.58356e-01  7.647e-01  4.244e-01   3.7e-04  6.5e-05  8.6e+03  2.4e+01
  1150  1.58208e-01  7.517e-01  4.140e-01   3.6e-04  6.4e-05  8.6e+03  2.9e+01
  1160  1.58055e-01  7.385e-01  4.036e-01   3.5e-04  6.3e-05  8.7e+03  2.6e+01
  1170  1.57899e-01  7.255e-01  3.933e-01   3.5e-04  6.2e-05  8.7e+03  2.0e+01
  1180  1.57753e-01  7.136e-01  3.839e-01   3.4e-04  6.2e-05  8.7e+03  2.2e+01
  1190  1.57602e-01  7.016e-01  3.744e-01   3.3e-04  6.1e-05  8.8e+03  2.9e+01
  1200  1.57450e-01  6.898e-01  3.652e-01   3.3e-04  6.0e-05  8.8e+03  2.1e+01
  1210  1.57301e-01  6.786e-01  3.564e-01   3.2e-04  5.9e-05  8.9e+03  2.3e+01
  1220  1.57157e-01  6.680e-01  3.481e-01   3.2e-04  5.9e-05  8.9e+03  2.8e+01
  1230  1.57001e-01  6.568e-01  3.393e-01   3.1e-04  5.8e-05  8.9e+03  2.2e+01
  1240  1.56852e-01  6.463e-01  3.311e-01   3.1e-04  5.7e-05  9.0e+03  1.9e+01
  1250  1.56711e-01  6.368e-01  3.236e-01   3.0e-04  5.6e-05  9.0e+03  2.6e+01
  1260  1.56565e-01  6.270e-01  3.160e-01   3.0e-04  5.6e-05  9.0e+03  2.8e+01
  1270  1.56417e-01  6.174e-01  3.084e-01   2.9e-04  5.5e-05  9.1e+03  2.4e+01
  1280  1.56272e-01  6.082e-01  3.012e-01   2.9e-04  5.4e-05  9.1e+03  2.3e+01
  1290  1.56128e-01  5.992e-01  2.941e-01   2.9e-04  5.4e-05  9.1e+03  2.4e+01
  1300  1.55981e-01  5.902e-01  2.871e-01   2.8e-04  5.3e-05  9.2e+03  2.6e+01
  1310  1.55835e-01  5.815e-01  2.802e-01   2.8e-04  5.2e-05  9.2e+03  1.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320  1.55699e-01  5.735e-01  2.739e-01   2.7e-04  5.2e-05  9.2e+03  2.6e+01
  1330  1.55556e-01  5.653e-01  2.675e-01   2.7e-04  5.1e-05  9.3e+03  3.0e+01
  1340  1.55412e-01  5.572e-01  2.611e-01   2.7e-04  5.0e-05  9.3e+03  2.2e+01
  1350  1.55273e-01  5.496e-01  2.551e-01   2.6e-04  5.0e-05  9.4e+03  2.1e+01
  1360  1.55136e-01  5.423e-01  2.492e-01   2.6e-04  4.9e-05  9.4e+03  2.6e+01
  1370  1.54997e-01  5.350e-01  2.434e-01   2.6e-04  4.8e-05  9.4e+03  2.5e+01
  1380  1.54859e-01  5.279e-01  2.377e-01   2.5e-04  4.8e-05  9.5e+03  2.2e+01
  1390  1.54728e-01  5.213e-01  2.324e-01   2.5e-04  4.7e-05  9.5e+03  2.1e+01
  1400  1.54596e-01  5.149e-01  2.272e-01   2.5e-04  4.6e-05  9.5e+03  3.0e+01
  1410  1.54456e-01  5.082e-01  2.218e-01   2.4e-04  4.6e-05  9.6e+03  2.8e+01
  1420  1.54318e-01  5.017e-01  2.165e-01   2.4e-04  4.5e-05  9.6e+03  2.1e+01
  1430  1.54186e-01  4.957e-01  2.116e-01   2.4e-04  4.4e-05  9.6e+03  2.9e+01
  1440  1.54050e-01  4.897e-01  2.066e-01   2.3e-04  4.4e-05  9.7e+03  2.7e+01
  1450  1.53918e-01  4.839e-01  2.019e-01   2.3e-04  4.3e-05  9.7e+03  2.0e+01
  1460  1.53795e-01  4.787e-01  1.976e-01   2.3e-04  4.2e-05  9.7e+03  2.5e+01
  1470  1.53661e-01  4.732e-01  1.929e-01   2.3e-04  4.2e-05  9.8e+03  2.8e+01
  1480  1.53530e-01  4.679e-01  1.885e-01   2.2e-04  4.1e-05  9.8e+03  2.1e+01
  1490  1.53404e-01  4.630e-01  1.842e-01   2.2e-04  4.1e-05  9.8e+03  3.0e+01
  1500  1.53277e-01  4.581e-01  1.801e-01   2.2e-04  4.0e-05  9.9e+03  3.0e+01
  1510  1.53151e-01  4.534e-01  1.760e-01   2.2e-04  3.9e-05  9.9e+03  2.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520  1.53027e-01  4.488e-01  1.721e-01   2.1e-04  3.9e-05  9.9e+03  2.1e+01
  1530  1.52906e-01  4.445e-01  1.683e-01   2.1e-04  3.8e-05  1.0e+04  2.4e+01
  1540  1.52787e-01  4.404e-01  1.647e-01   2.1e-04  3.7e-05  1.0e+04  3.1e+01
  1550  1.52661e-01  4.362e-01  1.609e-01   2.1e-04  3.7e-05  1.0e+04  2.6e+01
  1560  1.52535e-01  4.320e-01  1.572e-01   2.1e-04  3.6e-05  1.0e+04  2.1e+01
  1570  1.52420e-01  4.283e-01  1.539e-01   2.0e-04  3.6e-05  1.0e+04  2.4e+01
  1580  1.52303e-01  4.247e-01  1.505e-01   2.0e-04  3.5e-05  1.0e+04  2.7e+01
  1590  1.52181e-01  4.210e-01  1.472e-01   2.0e-04  3.4e-05  1.0e+04  2.5e+01
  1600  1.52061e-01  4.174e-01  1.439e-01   2.0e-04  3.4e-05  1.0e+04  2.5e+01
  1610  1.51947e-01  4.141e-01  1.408e-01   2.0e-04  3.3e-05  1.0e+04  2.9e+01
  1620  1.51832e-01  4.109e-01  1.377e-01   2.0e-04  3.3e-05  1.0e+04  3.0e+01
  1630  1.51714e-01  4.077e-01  1.347e-01   1.9e-04  3.2e-05  1.0e+04  2.3e+01
  1640  1.51604e-01  4.047e-01  1.319e-01   1.9e-04  3.2e-05  1.0e+04  2.4e+01
  1650  1.51492e-01  4.018e-01  1.291e-01   1.9e-04  3.1e-05  1.0e+04  3.0e+01
  1660  1.51379e-01  3.990e-01  1.263e-01   1.9e-04  3.1e-05  1.0e+04  3.0e+01
  1670  1.51261e-01  3.961e-01  1.234e-01   1.9e-04  3.0e-05  1.0e+04  2.4e+01
  1680  1.51149e-01  3.934e-01  1.208e-01   1.9e-04  2.9e-05  1.0e+04  2.2e+01
  1690  1.51040e-01  3.909e-01  1.183e-01   1.9e-04  2.9e-05  1.0e+04  3.2e+01
  1700  1.50929e-01  3.884e-01  1.157e-01   1.9e-04  2.8e-05  1.0e+04  3.0e+01
  1710  1.50816e-01  3.860e-01  1.132e-01   1.8e-04  2.8e-05  1.1e+04  2.4e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1720  1.50707e-01  3.837e-01  1.108e-01   1.8e-04  2.7e-05  1.1e+04  3.0e+01
  1730  1.50592e-01  3.813e-01  1.083e-01   1.8e-04  2.7e-05  1.1e+04  3.6e+01
  1740  1.50483e-01  3.791e-01  1.060e-01   1.8e-04  2.6e-05  1.1e+04  2.5e+01
  1750  1.50375e-01  3.770e-01  1.038e-01   1.8e-04  2.6e-05  1.1e+04  2.3e+01
  1760  1.50267e-01  3.750e-01  1.015e-01   1.8e-04  2.5e-05  1.1e+04  3.1e+01
  1770  1.50162e-01  3.730e-01  9.945e-02   1.8e-04  2.5e-05  1.1e+04  3.0e+01
  1780  1.50053e-01  3.711e-01  9.729e-02   1.8e-04  2.4e-05  1.1e+04  2.5e+01
  1790  1.49951e-01  3.693e-01  9.533e-02   1.8e-04  2.4e-05  1.1e+04  2.6e+01
  1800  1.49849e-01  3.676e-01  9.338e-02   1.8e-04  2.4e-05  1.1e+04  3.3e+01
  1810  1.49740e-01  3.658e-01  9.135e-02   1.7e-04  2.3e-05  1.1e+04  2.4e+01
