OS                           : Linux-4.18.0-425.3.1.el8.x86_64-x86_64-with-glibc2.28
Python Version               : 3.9.12
CuPy Version                 : 10.6.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.21.5
SciPy Version                : 1.7.3
Cython Build Version         : 0.29.24
Cython Runtime Version       : None
CUDA Root                    : /usr/local/cuda
nvcc PATH                    : /usr/local/cuda/bin/nvcc
CUDA Build Version           : 11020
CUDA Driver Version          : 11080
CUDA Runtime Version         : 11040
cuBLAS Version               : (available)
cuFFT Version                : 10502
cuRAND Version               : 10205
cuSOLVER Version             : (11, 2, 0)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 4)
Thrust Version               : 101000
CUB Build Version            : 101000
Jitify Build Version         : 4a37de0
cuDNN Build Version          : (not loaded; try `import cupy.cuda.cudnn` first)
cuDNN Version                : (not loaded; try `import cupy.cuda.cudnn` first)
NCCL Build Version           : None
NCCL Runtime Version         : None
cuTENSOR Version             : None
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-PCIE-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:17:00.0
None
Sizes of ptrain and pdot:
[(40000, 60, 60), (40000, 60, 60)]
len(theta) = 12960000
len(jac) = 144000000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 288000000 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =   100000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1130 -6.87584e-02  3.849e+00  2.799e+00   1.6e-03  3.3e-05  2.2e+04  2.9e+01
  1140 -6.88309e-02  3.813e+00  2.746e+00   1.6e-03  3.3e-05  2.2e+04  1.7e+01
  1150 -6.88941e-02  3.782e+00  2.701e+00   1.6e-03  3.2e-05  2.2e+04  5.8e+01
  1160 -6.89597e-02  3.750e+00  2.654e+00   1.5e-03  3.2e-05  2.2e+04  4.2e+01
  1170 -6.90241e-02  3.719e+00  2.609e+00   1.5e-03  3.1e-05  2.2e+04  5.9e+01
  1180 -6.90975e-02  3.684e+00  2.558e+00   1.5e-03  3.1e-05  2.2e+04  3.8e+01
  1190 -6.91601e-02  3.653e+00  2.514e+00   1.5e-03  3.1e-05  2.3e+04  2.9e+01
  1200 -6.92221e-02  3.623e+00  2.472e+00   1.5e-03  3.0e-05  2.3e+04  2.4e+01
  1210 -6.92788e-02  3.595e+00  2.432e+00   1.5e-03  3.0e-05  2.3e+04  4.3e+01
  1220 -6.93369e-02  3.566e+00  2.393e+00   1.5e-03  2.9e-05  2.3e+04  5.7e+01
  1230 -6.93954e-02  3.537e+00  2.352e+00   1.5e-03  2.9e-05  2.3e+04  7.0e+01
  1240 -6.94537e-02  3.507e+00  2.312e+00   1.4e-03  2.9e-05  2.3e+04  2.7e+01
  1250 -6.95111e-02  3.478e+00  2.272e+00   1.4e-03  2.8e-05  2.3e+04  2.5e+01
  1260 -6.95681e-02  3.449e+00  2.234e+00   1.4e-03  2.8e-05  2.3e+04  4.5e+01
  1270 -6.96150e-02  3.425e+00  2.202e+00   1.4e-03  2.8e-05  2.3e+04  7.8e+01
  1280 -6.96664e-02  3.398e+00  2.167e+00   1.4e-03  2.7e-05  2.3e+04  5.4e+01
  1290 -6.97156e-02  3.373e+00  2.133e+00   1.4e-03  2.7e-05  2.3e+04  4.2e+01
  1300 -6.97730e-02  3.343e+00  2.094e+00   1.4e-03  2.7e-05  2.4e+04  2.1e+01
  1310 -6.98178e-02  3.320e+00  2.064e+00   1.4e-03  2.6e-05  2.4e+04  3.0e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320 -6.98695e-02  3.292e+00  2.029e+00   1.4e-03  2.6e-05  2.4e+04  3.5e+01
  1330 -6.99089e-02  3.271e+00  2.002e+00   1.4e-03  2.6e-05  2.4e+04  7.3e+01
  1340 -6.99612e-02  3.243e+00  1.967e+00   1.3e-03  2.5e-05  2.4e+04  6.0e+01
  1350 -7.00032e-02  3.221e+00  1.939e+00   1.3e-03  2.5e-05  2.4e+04  3.2e+01
  1360 -7.00557e-02  3.193e+00  1.904e+00   1.3e-03  2.5e-05  2.4e+04  2.2e+01
  1370 -7.00896e-02  3.174e+00  1.882e+00   1.3e-03  2.5e-05  2.4e+04  5.9e+01
  1380 -7.01329e-02  3.151e+00  1.853e+00   1.3e-03  2.4e-05  2.4e+04  5.4e+01
  1390 -7.01701e-02  3.130e+00  1.828e+00   1.3e-03  2.4e-05  2.4e+04  6.8e+01
  1400 -7.02193e-02  3.103e+00  1.796e+00   1.3e-03  2.4e-05  2.4e+04  2.9e+01
  1410 -7.02541e-02  3.084e+00  1.773e+00   1.3e-03  2.3e-05  2.4e+04  3.2e+01
  1420 -7.03000e-02  3.059e+00  1.743e+00   1.3e-03  2.3e-05  2.5e+04  3.9e+01
  1430 -7.03316e-02  3.042e+00  1.723e+00   1.3e-03  2.3e-05  2.5e+04  6.3e+01
  1440 -7.03724e-02  3.020e+00  1.697e+00   1.2e-03  2.3e-05  2.5e+04  5.8e+01
  1450 -7.04053e-02  3.002e+00  1.676e+00   1.2e-03  2.2e-05  2.5e+04  6.6e+01
  1460 -7.04480e-02  2.979e+00  1.650e+00   1.2e-03  2.2e-05  2.5e+04  4.4e+01
  1470 -7.04831e-02  2.960e+00  1.628e+00   1.2e-03  2.2e-05  2.5e+04  2.5e+01
  1480 -7.05251e-02  2.938e+00  1.602e+00   1.2e-03  2.2e-05  2.5e+04  2.5e+01
