OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:82:00.0
None
./trajdata100/train_c6h6n2o2_sto-3g.npy
Sizes of ptrain and pdot:
[(40000, 60, 60), (40000, 60, 60)]
len(theta) = 12960000
len(jac) = 144000000
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 288000000 rows and 12960000 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    40000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1330 -8.30520e-03  8.053e-01  6.631e-01   3.6e-04  2.7e-05  3.0e+04  5.0e+01
  1340 -8.32273e-03  7.962e-01  6.499e-01   3.5e-04  2.7e-05  3.0e+04  4.6e+01
  1350 -8.33934e-03  7.874e-01  6.374e-01   3.5e-04  2.7e-05  3.0e+04  3.5e+01
  1360 -8.34796e-03  7.828e-01  6.309e-01   3.5e-04  2.7e-05  3.0e+04  5.1e+01
  1370 -8.36294e-03  7.748e-01  6.195e-01   3.4e-04  2.6e-05  3.0e+04  8.7e+01
  1380 -8.38028e-03  7.654e-01  6.063e-01   3.4e-04  2.6e-05  3.1e+04  5.9e+01
  1390 -8.39442e-03  7.575e-01  5.954e-01   3.3e-04  2.6e-05  3.1e+04  3.3e+01
  1400 -8.40099e-03  7.538e-01  5.902e-01   3.3e-04  2.5e-05  3.1e+04  6.8e+01
  1410 -8.41534e-03  7.457e-01  5.790e-01   3.3e-04  2.5e-05  3.1e+04  6.3e+01
  1420 -8.42745e-03  7.386e-01  5.693e-01   3.3e-04  2.5e-05  3.1e+04  2.1e+01
  1430 -8.43488e-03  7.343e-01  5.634e-01   3.2e-04  2.5e-05  3.1e+04  4.2e+01
  1440 -8.44714e-03  7.269e-01  5.534e-01   3.2e-04  2.4e-05  3.1e+04  8.2e+01
  1450 -8.46053e-03  7.187e-01  5.424e-01   3.2e-04  2.4e-05  3.1e+04  3.6e+01
  1460 -8.47176e-03  7.116e-01  5.329e-01   3.1e-04  2.4e-05  3.1e+04  1.8e+01
  1470 -8.47746e-03  7.080e-01  5.281e-01   3.1e-04  2.4e-05  3.2e+04  3.2e+01
  1480 -8.48820e-03  7.009e-01  5.187e-01   3.1e-04  2.3e-05  3.2e+04  1.1e+02
  1490 -8.49936e-03  6.933e-01  5.087e-01   3.1e-04  2.3e-05  3.2e+04  4.3e+01
  1500 -8.50653e-03  6.882e-01  5.021e-01   3.0e-04  2.3e-05  3.2e+04  2.3e+01
  1510 -8.51241e-03  6.840e-01  4.965e-01   3.0e-04  2.3e-05  3.2e+04  4.2e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1520 -8.52196e-03  6.769e-01  4.874e-01   3.0e-04  2.2e-05  3.2e+04  9.1e+01
  1530 -8.53115e-03  6.699e-01  4.783e-01   3.0e-04  2.2e-05  3.2e+04  4.8e+01
  1540 -8.53851e-03  6.640e-01  4.708e-01   2.9e-04  2.2e-05  3.2e+04  2.8e+01
  1550 -8.54301e-03  6.604e-01  4.661e-01   2.9e-04  2.2e-05  3.2e+04  3.6e+01
  1560 -8.55064e-03  6.540e-01  4.581e-01   2.9e-04  2.2e-05  3.2e+04  1.0e+02
  1570 -8.55849e-03  6.472e-01  4.495e-01   2.9e-04  2.1e-05  3.3e+04  3.0e+01
  1580 -8.56324e-03  6.430e-01  4.442e-01   2.8e-04  2.1e-05  3.3e+04  1.9e+01
  1590 -8.56747e-03  6.391e-01  4.394e-01   2.8e-04  2.1e-05  3.3e+04  6.7e+01
  1600 -8.57432e-03  6.327e-01  4.314e-01   2.8e-04  2.1e-05  3.3e+04  5.8e+01
  1610 -8.58007e-03  6.272e-01  4.246e-01   2.8e-04  2.1e-05  3.3e+04  3.4e+01
  1620 -8.58352e-03  6.238e-01  4.204e-01   2.8e-04  2.0e-05  3.3e+04  4.8e+01
