OS                           : Linux-5.14.21-150400.24.81_12.0.86-cray_shasta_c-x86_64-with-glibc2.31
Python Version               : 3.9.15
CuPy Version                 : 12.1.0
CuPy Platform                : NVIDIA CUDA
NumPy Version                : 1.23.5
SciPy Version                : 1.9.3
Cython Build Version         : 0.29.32
Cython Runtime Version       : None
CUDA Root                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7
nvcc PATH                    : /opt/nvidia/hpc_sdk/Linux_x86_64/22.7/cuda/11.7/bin/nvcc
CUDA Build Version           : 11080
CUDA Driver Version          : 12000
CUDA Runtime Version         : 11070
cuBLAS Version               : (available)
cuFFT Version                : 10702
cuRAND Version               : 10210
cuSOLVER Version             : (11, 3, 5)
cuSPARSE Version             : (available)
NVRTC Version                : (11, 7)
Thrust Version               : 101501
CUB Build Version            : 101501
Jitify Build Version         : 4a37de0
cuDNN Build Version          : 8801
cuDNN Version                : 8302
NCCL Build Version           : 21602
NCCL Runtime Version         : 21505
cuTENSOR Version             : 10500
cuSPARSELt Build Version     : None
Device 0 Name                : NVIDIA A100-SXM4-40GB
Device 0 Compute Capability  : 80
Device 0 PCI Bus ID          : 0000:C1:00.0
None
./trajdata100/train_lih_6-31g.npy
Sizes of ptrain and pdot:
[(199996, 11, 11), (199996, 11, 11)]
len(theta) = 14641
len(jac) = 24199516
 
LSMR            Least-squares solution of  Ax = b

The matrix A has 48399032 rows and 14641 columns
damp = 0.00000000000000e+00

atol = 1.00e-08                 conlim = 1.00e+08

btol = 1.00e-08             maxiter =    20000

 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
   940  1.77899e-02  9.751e-02  3.896e-02   2.8e-04  4.4e-05  9.1e+03  5.1e+01
   950  1.78643e-02  9.680e-02  3.823e-02   2.8e-04  4.3e-05  9.2e+03  3.3e+01
   960  1.80014e-02  9.556e-02  3.699e-02   2.7e-04  4.2e-05  9.2e+03  2.5e+01
   970  1.81330e-02  9.444e-02  3.588e-02   2.7e-04  4.1e-05  9.3e+03  4.4e+01
   980  1.82562e-02  9.345e-02  3.491e-02   2.7e-04  4.0e-05  9.3e+03  6.0e+01
   990  1.83798e-02  9.249e-02  3.398e-02   2.7e-04  3.9e-05  9.4e+03  3.8e+01
  1000  1.85286e-02  9.140e-02  3.293e-02   2.6e-04  3.8e-05  9.4e+03  7.0e+01
  1010  1.86310e-02  9.068e-02  3.223e-02   2.6e-04  3.8e-05  9.5e+03  1.9e+01
  1020  1.87695e-02  8.975e-02  3.135e-02   2.6e-04  3.7e-05  9.5e+03  5.5e+01
  1030  1.88698e-02  8.910e-02  3.076e-02   2.6e-04  3.6e-05  9.6e+03  6.5e+01
  1040  1.89835e-02  8.839e-02  3.012e-02   2.5e-04  3.5e-05  9.6e+03  5.4e+01
  1050  1.91102e-02  8.762e-02  2.945e-02   2.5e-04  3.5e-05  9.7e+03  6.5e+01
  1060  1.92493e-02  8.680e-02  2.874e-02   2.5e-04  3.4e-05  9.7e+03  6.5e+01
  1070  1.93728e-02  8.609e-02  2.813e-02   2.5e-04  3.4e-05  9.7e+03  3.2e+01
  1080  1.94905e-02  8.542e-02  2.757e-02   2.5e-04  3.3e-05  9.8e+03  2.5e+01
  1090  1.96014e-02  8.480e-02  2.706e-02   2.4e-04  3.2e-05  9.8e+03  3.1e+01
  1100  1.96986e-02  8.426e-02  2.662e-02   2.4e-04  3.2e-05  9.9e+03  5.6e+01
  1110  1.98372e-02  8.351e-02  2.602e-02   2.4e-04  3.1e-05  9.9e+03  2.9e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1120  1.99685e-02  8.279e-02  2.547e-02   2.4e-04  3.1e-05  1.0e+04  5.2e+01
  1130  2.00733e-02  8.223e-02  2.505e-02   2.4e-04  3.0e-05  1.0e+04  6.1e+01
  1140  2.02008e-02  8.156e-02  2.455e-02   2.3e-04  3.0e-05  1.0e+04  4.7e+01
  1150  2.03287e-02  8.089e-02  2.406e-02   2.3e-04  2.9e-05  1.0e+04  3.0e+01
  1160  2.04722e-02  8.015e-02  2.353e-02   2.3e-04  2.9e-05  1.0e+04  5.4e+01
  1170  2.05757e-02  7.963e-02  2.316e-02   2.3e-04  2.9e-05  1.0e+04  5.6e+01
  1180  2.07428e-02  7.880e-02  2.257e-02   2.3e-04  2.8e-05  1.0e+04  4.6e+01
  1190  2.08738e-02  7.816e-02  2.211e-02   2.2e-04  2.8e-05  1.0e+04  4.8e+01
  1200  2.10095e-02  7.751e-02  2.164e-02   2.2e-04  2.7e-05  1.0e+04  3.2e+01
  1210  2.11085e-02  7.704e-02  2.131e-02   2.2e-04  2.7e-05  1.0e+04  5.2e+01
  1220  2.12644e-02  7.631e-02  2.079e-02   2.2e-04  2.6e-05  1.0e+04  4.7e+01
  1230  2.13884e-02  7.573e-02  2.038e-02   2.2e-04  2.6e-05  1.0e+04  5.3e+01
  1240  2.15017e-02  7.521e-02  2.002e-02   2.2e-04  2.5e-05  1.0e+04  4.9e+01
  1250  2.16224e-02  7.466e-02  1.963e-02   2.1e-04  2.5e-05  1.1e+04  3.7e+01
  1260  2.17655e-02  7.401e-02  1.919e-02   2.1e-04  2.5e-05  1.1e+04  5.6e+01
  1270  2.18677e-02  7.356e-02  1.887e-02   2.1e-04  2.4e-05  1.1e+04  2.3e+01
  1280  2.19859e-02  7.303e-02  1.851e-02   2.1e-04  2.4e-05  1.1e+04  4.0e+01
  1290  2.21040e-02  7.252e-02  1.815e-02   2.1e-04  2.3e-05  1.1e+04  3.6e+01
  1300  2.21957e-02  7.212e-02  1.788e-02   2.1e-04  2.3e-05  1.1e+04  4.2e+01
  1310  2.22940e-02  7.169e-02  1.759e-02   2.1e-04  2.3e-05  1.1e+04  3.6e+01
 
   itn      x(1)       norm r    norm Ar  compatible   LS      norm A   cond A
  1320  2.23977e-02  7.125e-02  1.730e-02   2.0e-04  2.2e-05  1.1e+04  5.0e+01
  1330  2.24995e-02  7.081e-02  1.702e-02   2.0e-04  2.2e-05  1.1e+04  5.6e+01
  1340  2.25777e-02  7.048e-02  1.681e-02   2.0e-04  2.2e-05  1.1e+04  6.0e+01
  1350  2.26908e-02  7.001e-02  1.651e-02   2.0e-04  2.2e-05  1.1e+04  3.8e+01
  1360  2.28208e-02  6.949e-02  1.618e-02   2.0e-04  2.1e-05  1.1e+04  9.6e+01
  1370  2.28992e-02  6.917e-02  1.598e-02   2.0e-04  2.1e-05  1.1e+04  4.6e+01
  1380  2.29878e-02  6.883e-02  1.577e-02   2.0e-04  2.1e-05  1.1e+04  3.4e+01
  1390  2.30806e-02  6.847e-02  1.556e-02   2.0e-04  2.0e-05  1.1e+04  9.7e+01
  1400  2.31759e-02  6.810e-02  1.534e-02   2.0e-04  2.0e-05  1.1e+04  9.2e+01
  1410  2.32681e-02  6.776e-02  1.514e-02   1.9e-04  2.0e-05  1.1e+04  3.7e+01
  1420  2.33613e-02  6.741e-02  1.495e-02   1.9e-04  2.0e-05  1.1e+04  4.5e+01
